Rank,Team,Points,Games,Avg
1,JAX,203,16,12.7
2,BAL,186,16,11.6
3,PHI,170,16,10.6
3,LAR,170,16,10.6
4,LAC,160,16,10
5,DET,157,16,9.8
6,NOR,151,16,9.4
7,SEA,142,16,8.9
8,CHI,138,16,8.6
8,PIT,138,16,8.6
9,CAR,137,16,8.6
10,KAN,124,16,7.8
11,NEW,123,16,7.7
12,MIN,120,16,7.5
13,DAL,114,16,7.1
14,WAS,112,16,7
15,TEN,110,16,6.9
16,ARI,109,16,6.8
16,DEN,109,16,6.8
17,BUF,104,16,6.5
18,CIN,100,16,6.3
19,ATL,99,16,6.2
20,TAM,97,16,6.1
21,GNB,94,16,5.9
22,IND,92,16,5.8
23,MIA,90,16,5.6
24,NYG,88,16,5.5
25,HOU,82,16,5.1
26,SFO,79,16,4.9
27,CLE,75,16,4.7
28,NYJ,72,16,4.5
29,OAK,68,16,4.3